MetaboliteName	INCHIKEY	blank_1	blank_2	blank_3	blank_4	A_1	A_2	A_3	A_4	A_5	A_6	B_1	B_2	B_3	B_4	B_5	B_6	C_1	C_2	C_3	C_4	C_5	C_6	CdR_1	CdR_2	CdR_3	CdR_4	CdR_5	CdR_6	CdR_CdR_1	CdR_CdR_2	CdR_CdR_3	CdR_CdR_4	CdR_CdR_5	CdR_CdR_6	D_1	D_2	D_3	D_4	D_5	D_6	E_1	E_2	E_3	E_4	E_5	E_6	F_1	F_2	F_3	F_4	F_5	F_6	Fresh_1	Fresh_2	Fresh_3	Fresh_4	Fresh_5	Fresh_6	G_1	G_2	G_3	G_4	G_5	G_6	H_1	H_2	H_3	H_4	H_5	H_6	I_1	I_2	I_3	I_4	I_5	I_6	J_1	J_2	J_3	J_4	J_5	J_6	K_1	K_2	K_3	K_4	K_5	K_6	L_1	L_2	L_3	L_4	L_5	L_6	M_1	M_2	M_3	M_4	M_5	M_6	QC0	QC1	QC2	QC3	QC4	QC5	QC6	QC7	QC8	QC9	A_CdR_1	A_CdR_2	A_CdR_3	A_CdR_4	A_CdR_5	A_CdR_6	B_CdR_1	B_CdR_2	B_CdR_3	B_CdR_4	B_CdR_5	B_CdR_6	C_CdR_1	C_CdR_2	C_CdR_3	C_CdR_4	C_CdR_5	C_CdR_6	D_CdR_1	D_CdR_2	D_CdR_3	D_CdR_4	D_CdR_5	D_CdR_6	E_CdR_1	E_CdR_2	E_CdR_3	E_CdR_4	E_CdR_5	E_CdR_6	F_CdR_1	F_CdR_2	F_CdR_3	F_CdR_4	F_CdR_5	F_CdR_6	G_CdR_1	G_CdR_2	G_CdR_3	G_CdR_4	G_CdR_5	G_CdR_6	H_CdR_1	H_CdR_2	H_CdR_3	H_CdR_4	H_CdR_5	H_CdR_6	I_CdR_1	I_CdR_2	I_CdR_3	I_CdR_4	I_CdR_5	I_CdR_6	J_CdR_1	J_CdR_2	J_CdR_3	J_CdR_4	J_CdR_5	J_CdR_6	K_CdR_1	K_CdR_2	K_CdR_3	K_CdR_4	K_CdR_5	K_CdR_6	L_CdR_1	L_CdR_2	L_CdR_3	L_CdR_4	L_CdR_5	L_CdR_6	M_CdR_1	M_CdR_2	M_CdR_3	M_CdR_4	M_CdR_5	M_CdR_6	QC10	QC11	QC12	QC13	QC14	QC15	QC16	QC17
Canrenone	UJVLDDZCTMKXJK-AFDHUMPMSA-N	40079	31029	22340	11810	79631	381900	412449	346260	433312	511995	6687	0	46479	19854	60088	44398	13181	6763	31804	17927	20142	9090	42234	48531	42568	65849	10002	28790	41653	44518	33857	74303	42263	39558	118319	1743859	1128728	1195307	1138310	1382837	174539	40625	198500	191253	95902	85043	28167	37215	36118	61602	13140	29744	56488	17385	7720	6324	44027	25763	13611	36052	46521	19077	12818	33417	6345	43159	12833	32909	37340	5329	86819	175684	40059	168999	220467	231330	29925	57347	65949	77935	100739	60028	61592	48272	56066	41665	638511	42315	415964	621609	448687	477006	847714	973276	38415	37542	15347	32951	15937	32109	158262	160274	141208	157172	163941	98435	121197	145398	151871	138931	400245	2339682	396543	397625	406691	364689	527956	331160	45266	42500	31723	50747	46968	48751	32711	23338	68151	72684	622208	656875	558230	463916	539277	549506	197807	184773	75933	90748	206703	177029	85203	44019	91452	54493	31676	27685	31641	48415	55765	26406	47202	73640	71182	58903	43418	52672	67471	45212	24094	40599	29813	60976	75391	118986	149306	90273	158704	141849	181827	197977	122750	124514	127773	93981	99769	70545	600213	608537	515774	527219	1204443	1299516	69014	78054	69418	59177	100422	72006	170670	115487	174337	141850	133777	123062	165158	158024
Thiadone	JFZSAWUKZISBJM-UHFFFAOYSA-N	0	6011	6581	2909	3045876	13050447	13360726	12882633	11822376	11338238	3237976	2557142	17321940	16725637	18826700	17727734	10299135	11724600	11294583	11756190	12082714	11809033	11955002	11054943	10420975	10710833	12646532	11787226	14193904	15598214	14120798	12712883	1375470	15917573	5652563	6128420	5325747	6254901	6390048	5978538	9082772	3648678	9157726	9712186	10320252	10005793	14484702	16059435	16233495	16106158	18221372	19273352	9545529	16878452	18021762	19290552	18146966	17861436	13574747	13785056	16596420	14686043	14443161	12006902	2337682	2575061	2695316	2084880	2569553	2132282	2960388	2888515	3114891	3070286	3015996	3191736	2315771	2690893	2335848	2591798	2356571	2337590	2810489	2837844	3000522	3084721	205968	2731001	3435863	3092667	3716038	3280602	2731190	2722792	4986088	5161834	5403055	5964868	4799497	6107594	7260512	8066218	8236694	7112930	7693830	8702389	9140581	7731548	8284940	7837681	8910337	11001875	12234784	12154922	11805793	12679750	8360730	11272373	15190293	15630113	17631766	17733288	10272373	12032286	11868482	12297385	13385914	13186273	3494526	3392109	5393752	4794464	5578040	5216350	6900986	7857240	10243777	9029958	7254244	7963278	5688142	12245474	12890074	12960285	14403769	13825820	6313974	7030040	8495238	7138287	9043620	6849905	927797	985436	1550984	1061450	1371214	1184542	108750	153244	315949	142950	2576010	2395927	1959122	2498039	2134425	2095816	1963682	1970389	2026784	2097009	2069449	2786770	2278594	2409449	1833111	2032948	2279026	2283340	2100121	2198944	3245045	4296800	3815124	4285190	4165138	4509504	3144927	4754692	5200784	5219314	5477015	5364837	5089085	5072347
4-Amino-6-tert-butyl-3-thioxo-3,4-dihydro-1,2,4-triazin-5(2H)-one	OFKAVNQBCRJBJE-UHFFFAOYSA-N	19218	50354	56002	56735	8863198	32898956	35002088	33356354	35889796	36070664	11265262	9548917	54823272	40618144	50173336	48634400	31668942	35269668	34586544	38094628	36491948	36247828	38234120	43532952	44913944	46850344	46648552	46716644	119418792	125934496	132127512	132070768	5595303	127245704	1938478	2409637	2731321	2944984	2988124	2621128	7670220	4778270	9136685	8969953	10519855	10625452	29357122	30380144	31228666	33109606	32699886	32023886	18044992	33853280	35688964	33727100	34886912	34689084	29205318	32493650	30129720	30319928	32004990	33122898	2363874	2572145	2653802	2610549	2233949	2480902	20179772	20525432	22405940	22022764	21728296	21439102	17258390	17899030	17649984	18904312	18196658	18029510	20917742	21576534	22898090	21806720	2743999	21474632	2211647	2025779	2230815	2497253	2883265	3013949	18098728	20058038	19617196	20373252	19817754	20282860	7168055	7568338	8085791	8293172	8439725	7967928	8364364	8517151	8364629	7446603	44904800	51754716	53378188	53779236	54231900	53665596	49451088	76692096	96274032	98409408	98532856	99052624	45253132	52773544	43547456	43886700	71328032	73521688	1888134	1888812	3766178	3382364	4336230	4381247	73904728	79630856	76721960	76350280	83616288	82905504	38254332	89006960	93979592	99570216	100692256	93370824	92989368	97201680	102448888	101473272	106822488	105283616	2158250	269108544	1729877	2135575	2138477	2535099	1644536	1877462	3176630	1577945	22289584	23203946	58231416	53904020	66135076	67413456	68777936	70447848	63660712	66650808	68908872	62002548	65422024	66668952	1973654	1845867	1908714	2061581	2882638	2365798	22380776	24389794	24642446	25174438	24736954	22783974	9079639	9434262	9669568	9400865	9981026	9519240	9618044	9978290
gamma-Glutamylmethionine	RQNSKRXMANOPQY-BQBZGAKWSA-N	0	0	0	0	2358106	34499296	40106056	38221200	40567548	40941384	3093441	2137049	41229696	29358728	40670860	40064540	41055548	41358740	40695420	39801144	40441800	38632916	42604048	52803160	52354024	52626804	48228504	50300016	56945176	51788852	53854928	48681908	1060575	53847212	3908792	45765972	46077712	45089500	33205140	44260240	46660208	2337840	49137308	46895784	47615152	46688440	39062912	36164384	37124656	37609264	36002288	33922040	9369376	38123032	37444640	36899704	38030020	37864596	36409404	37755116	33798688	38343236	34116436	37413656	31607042	31744830	29396658	33735140	30398306	33866272	20796774	23106934	22955532	24938242	22572694	22023568	23961116	23494018	25336024	24056050	27446388	27520922	23280956	22566120	22924138	22826816	509019	23132198	25945276	27490600	26727558	27759080	27318244	29619560	27998128	25474240	27818138	23599540	29524120	25777732	30882768	33381996	33897564	33897200	34335300	35044488	34247932	34550084	33245138	33915244	37506596	39458428	46555956	44293464	44590080	41458132	14167673	24813534	37197656	35499968	35506816	35898940	39890204	45033380	44757832	42240736	45181360	47069932	47569144	52578344	57051416	51244256	52482584	55397624	39534632	39440052	50147700	49428796	39548372	41829272	61038396	53005036	57912956	57314956	54416232	58146268	45499052	44195860	42651096	41922212	42071672	44643104	39838432	41623700	38832904	44246708	33494242	37883964	386062	480228	649785	319711	30370138	33280424	38605856	26254874	35984332	40840020	40718684	43787928	40870708	43448260	39297580	32587344	35445672	37621616	35775792	40160684	40754608	38921676	40018636	37529292	52611708	45501536	51870244	48045588	48477452	40477500	32684080	39030684	40023092	39807764	39982824	38810020	40195728	38591780
10phiC10SPC	VCKAUONIDRWIGP-UHFFFAOYSA-N	0	3390	0	0	146344	1679680	1655902	1772266	1784829	1693656	3260	3193	7371	0	8998	0	1459716	1482822	1443082	1567954	1617570	1608630	0	9696	103781	249028	0	0	0	0	68210	97947	0	0	135385	972916	873492	812169	598611	745541	73086	0	46895	41936	405860	421859	2533909	2237088	1634244	1596902	1522811	1492469	1031029	2846848	3057635	3116248	2992055	2818679	2527654	2599654	2529463	2716580	1687865	1863722	226334	253920	203413	209939	200840	258480	2910278	3027746	3045223	3266093	3200324	2970836	3055063	2973636	3079124	2974139	3125686	3047117	2307750	2260594	2396248	2260778	68301	2286682	1451770	1527806	1490536	1502462	1475041	1557227	594657	521600	636253	570475	588948	600318	1367428	1425746	1409496	1397813	1525197	1512714	1497924	1448282	1465310	1401853	57717	36681	51979	53634	67369	72601	0	5497	9315	0	0	9806	0	16054	52115	38215	13268	10620	28512	7193	60051	78566	83450	48324	6882	0	13366	25481	7067	16187	18669	22219	16210	0	13524	23485	455540	454449	701294	708916	414560	377020	22737	0	5197	6727	11272	4810	0	0	3119	2611	817	8533	14648	806	0	0	0	0	0	8727	0	0	0	0	33534	20124	34471	163924	17741	45030	15161	870562	3200	3104	739	2258	45458	26320	39879	31252	46715	26985	65292	31654
2,8-Quinolinediol	ZXZKYYHTWHJHFT-UHFFFAOYSA-N	14801	6567	11280	12938	48836	416003	341767	358165	540505	253735	188695	165022	1831880	1540898	1846667	1836762	1071206	1150855	1087923	1123928	1102324	1257446	1345420	1557984	1722815	1954292	1664795	1972257	969866	1016445	1124943	1062636	86983	1100920	191578	704657	778827	763279	837529	684704	890621	125542	947743	956351	1033330	1020990	981678	966941	946993	1112619	1052291	979850	359999	999558	1162566	1078150	1073210	1042395	834625	704472	869920	955310	953959	979707	471362	602765	601421	579457	557319	642546	643361	746134	819977	869724	758786	763636	878062	687502	851481	1012366	872001	912628	846516	753320	829584	746312	73717	643726	433983	519720	600680	603937	660715	710375	798892	853205	927131	906789	932150	720506	739336	715518	735483	742489	896337	911848	858110	933745	816272	968567	253609	350381	431919	381158	390766	305616	304986	461443	651969	638522	623101	662488	464908	588770	554430	572969	553274	590041	423480	701106	511517	517120	566207	598567	480874	555845	591732	555664	518181	540267	904932	718002	795443	823683	842771	889341	654202	665936	678133	704092	720395	679373	491024	652615	614981	646376	487938	607821	34226	37019	49876	73122	589668	652207	687124	588010	608020	705168	786457	688222	908404	917354	872571	838930	902635	914573	340134	415120	368135	458615	325580	452805	1122771	1188421	1164647	1015982	826235	881020	440450	592940	571570	611763	622957	652184	594006	576466
3,3',5-Triiodothyronine	AUYYCJSJGJYCDS-LBPRGKRZSA-N	3229	0	0	0	69937	843254	356111	584822	17865618	575754	49512	25015	2041588	620767	1398769	704296	313861	674916	478673	327884	653639	447162	935924	1046106	859079	1084957	1276159	9706183	389522	1062651	401870	1892857	7720	2866790	143230	838395	819821	679137	980062	7521772	678337	71924	568028	540263	13691733	7650803	660739	715250	773617	701891	692051	618178	1288842	1683707	3096746	4012644	3174676	3483472	749053	732848	1052231	580998	1368372	1176808	7485	5805	18677	8652	10006	7911	13952	11098	709	28174	81899	10117	10533	15363	7361	22830	22547	11061	0	0	8883	0	4832	8128	0	0	0	0	0	0	0	0	0	0	0	5550	321815	528745	292637	687955	499911	561730	210757	340459	512638	4526466	9073028	20997068	12642850	10565349	15045654	5978390	7684177	14662847	13119952	13404767	8986611	14659494	6199093	8443136	8919367	3606846	7152839	8639255	213468	215196	7362511	6374498	2472188	5891350	20262740	22277402	20743458	20255768	22234420	21327114	13571700	20174208	25482436	20313116	7912649	19705212	1557449	2312887	1117673	2375886	2521874	1221468	61740	145239	80217	112598	63017	210125	3803	0	0	0	581705	154621	113388	43205	131632	226651	199744	143580	7805	8943	0	8296	6053	703	0	6005	0	5235	0	0	118550	7685	152835	54404	50736	56527	4356323	4871812	5984354	6041142	6705824	6233024	6425489	6186021
Mannose_6-phosphate	NBSCHQHZLSJFNQ-QTVWNMPRSA-N	26712	8377	35905	7818	34385	68043	8866	21752	13125	11902	279009	206553	598800	454524	646686	613105	108358	23862	70943	49919	62183	24990	8839381	10246831	10459380	10561660	10496104	11172670	12485556	12311978	11997690	11284226	303492	12865613	50923	514775	427184	450203	270103	420055	12413062	753494	13271263	12828358	3217236	3129747	11031090	10216684	17157366	17786406	9418613	9016304	413071	1666201	1725668	1639515	1671127	1594931	9671505	10223139	9388022	10712010	2561638	2727847	969833	1062229	1050656	1081637	1029612	1318033	5741882	6472176	6618296	6928356	8035167	7498089	3215104	3378312	3603560	3286668	3585453	3470309	4720128	4653298	4700158	4473424	175166	5037026	647552	635281	708941	737382	801955	934751	13871712	13031018	14017148	12075963	15287728	13102150	4483951	5130052	5414286	5723231	5348939	5279632	5612000	5523212	5650841	5422694	359441	353611	523229	522088	485260	406681	893008	1711654	603670	536333	517318	456004	158569	201854	12139	8632	301386	278211	98432	167307	274779	326353	481031	521913	11878349	12173231	3671053	3128947	11699435	12644315	11520646	11697613	18860830	19278190	11684874	11627966	8572427	9022295	3282588	2743117	8587689	9088159	1837658	1929150	1647272	1678660	1633073	1932090	119576	106488	181024	105315	5320884	5922188	2968260	2462368	3057882	3486393	3289306	3388852	5083076	5403012	5057231	4511702	4580999	4770182	414210	470084	394996	339104	640500	526275	14564779	12817215	13957216	13174014	12942474	12468542	3236960	4261878	4564638	4590323	4379634	4491700	4488282	4371312
5-Aminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl_5'-monophosphate	NOTGFIUVDGNKRI-UUOKFMHZSA-N	0	0	0	0	0	11667	12505	0	9325	0	3901	0	12958	17396	12416	9691	61410	125227	38906	107700	51220	32251	12622	66543	47116	25369	16955	9934	26005	10476	28345	33758	0	42377	0	0	13746	28089	0	10719	0	0	10328	0	12839	0	704655	630926	701710	761927	393563	334306	5541	0	0	7023	12372	0	13624	15187	0	10015	11656	0	17866	0	0	0	0	0	2026676	2010502	2244799	2258788	2084994	1967549	31811662	29293878	30399976	29751882	30892442	31947554	17787	0	0	0	0	13511	10075	0	0	13525	15056	0	0	5281	10302	4571	21020	0	1711861	1821550	1887756	1956758	1958078	1838903	1976088	1816496	1875813	1798961	6787	0	0	0	7760	7522	17169	6111	8365	7523	0	0	7830	15643	9335	11403	6034	12185	2674	8234	7311	8873	17325	2727	2097	0	0	9062	4092	11421	1826344	550704	661592	764157	496981	467387	14289	0	4871	0	8269	7332	0	713	0	0	0	6563	25138	29336	75478	8494	1556784	1795332	26601514	22147620	26007472	27723968	27266876	27840962	0	10960	2299	0	0	3854	0	9119	0	10637	0	0	8434	8285	52824	34125	10535	13721	2870244	3294175	3408604	3427147	3413187	3408361	3374428	3251739
Tyr-Tyr-Tyr	RMRFSFXLFWWAJZ-UHFFFAOYSA-N	0	0	0	0	12512198	143654800	153700128	151523184	161116240	162017808	15214966	10350015	152191536	118362856	151475248	150984400	161099904	162638256	157542640	158645056	155298256	152411536	138583424	157062304	158537632	162175744	153295104	157560720	158553488	157411296	155744016	152074416	5297890	159930576	18561246	151329200	151063232	153575088	118237920	150414416	152732256	10542325	161382368	158269920	153468480	152921728	142324624	139250704	144505632	154218320	135546464	129943184	44536564	151395392	153876752	153097872	154667552	150548512	136992736	142914256	132307920	148356320	132883104	142301968	35527984	36822980	35065676	38598596	37150312	38504528	92522440	105521408	108816400	114767608	106052216	102987136	103688536	97114680	104068800	100974168	106236136	105003744	101599016	98562656	100777648	99372992	2537105	102953680	62559148	67113720	68770680	72855392	69963552	74767968	111570896	108448168	114723264	100849488	120787376	106428632	111272568	119535616	125316752	124417896	125896456	127104800	110743616	125097088	125614720	129385560	131558368	131565384	149487872	143496144	150779280	143003216	61160020	100325920	133276584	132498672	128151264	134432048	130545608	145975312	149757840	146005312	148579648	156477440	134094544	143634752	159195472	149920448	159181008	161621952	148422368	146330272	149573568	145024608	156873584	163666192	157303616	150429536	161174032	163285440	155035648	161037728	139884768	141003248	156835120	154865680	145968240	150999424	38552580	41055048	33564040	35630416	36036376	38941016	2879537	3421692	4387286	2395612	107472000	117691704	111051208	90599680	116538824	121401088	119371936	127638576	118215904	123482288	117086752	108671960	112138824	117552264	66499204	73371944	73750568	73338320	77496016	72085616	126364488	120428784	125795968	120892392	126343512	115245560	105229488	111638312	119758072	122836216	119570624	124550608	123941072	121726608
Fallacinol	WJXSYUJKJSOJOG-UHFFFAOYSA-N	2952	0	0	0	2523	0	4115	7497	9660	0	0	390	6718	7658	0	0	11201	8122	9234	7819	10641	11338	0	0	4461	0	7148	0	0	0	0	2584	1913	13389	0	6869	10748	4033	0	3588	10435	0	2608	1648	0	5694	0	0	6502	866	10667	8460	3880	0	0	11031	8240	0	6507	6946	4358	3555	0	7295	6428732	6616524	6078162	6816229	6461617	6834646	882	0	0	0	0	4030	3467	0	2189	3165	0	6955	0	0	0	0	0	2657	17543	4989	33582	7509	48045	12923	0	10019	13528	1157	5834	0	291201	396925	355007	306195	345012	331307	312635	381959	339254	435231	1450	0	5177	0	0	0	761	0	0	0	5678	2073	12217	7450	114736	56563	19177	10049	172738	228221	8473	0	11751	110007	2007	0	0	0	3065	4678	0	7073	0	0	0	12571	5006	7779	8566	5520	5759	5690	12346014	13456649	22740886	25537912	15520416	16216243	0	2487	1186	4150	6856	0	5635	0	2748	6914	0	0	5565	5983	3451	5945	7506	0	50670	62281	48785	33083	122497	83306	4386	7204	0	0	0	0	844595	1063673	1049152	1104056	1108341	1056442	1127842	1077756
3-((Ethylphenylamino)methyl)benzenesulfonic_acid	BQGRVFPPZJPWPB-UHFFFAOYSA-N	4428	0	2694	2572	330406	2274310	2668122	2242189	2709197	2511838	1271427	907988	8289862	6695244	8199726	8186856	7444207	7728276	7139068	7462262	7069081	6863460	6746676	7275950	7611689	7447166	7465326	7292724	8000372	8469585	8092316	7579684	455902	8143614	1314788	7123834	7096252	6927905	6060607	6817072	7075726	836215	7184626	6732204	6866572	6796796	7272731	6886884	7099924	7071756	6252922	6150690	2579469	7346301	7316518	7099984	7405624	7114367	7304547	7240328	6913151	7417162	6354569	7183433	5412181	5623284	5835078	5838780	5323107	5566724	5742432	6182514	5894130	6484197	5964844	5826416	6173628	6068198	6255556	6009512	6144648	6132842	5978589	5644266	5798870	5579079	277740	5842284	6486430	6747140	6091326	6448164	5760742	5857406	6299254	5900120	5909494	5381010	6465750	5713313	6173100	6309833	6914863	6544582	6695044	6182546	6225914	6530434	6472675	6555857	1910249	2073536	2272716	2220259	1914935	2175596	3599185	5625072	7053044	6862567	6773444	6638380	5996560	6552486	6439042	5897316	6387960	6495355	5944205	6363838	7117302	6650348	7226218	7264794	6620795	6557942	7477504	7073598	6614044	6521030	9677470	7988830	8321739	8324600	7246998	7522003	6243310	5857252	6019914	6062953	6146221	5882266	6099492	6390100	5815616	6291730	5422192	5596950	152259	206074	349689	169186	5644200	6247399	6001905	5294341	6098900	6600022	6463608	6523779	6115260	7291842	6597846	5479976	5963944	5974679	5943846	6130249	6201942	5963036	5774995	5773286	6648663	5985702	6785488	6185292	6268610	5687326	4359480	5821962	5976380	5707492	5975135	5569182	5705842	5673604
12:4+4O_fatty_acyl_hexoside	JWAGJGCOOSEMAU-UHFFFAOYSA-N	0	0	0	0	164001	2913201	3335087	2910942	3101646	3336860	139330	84853	2083424	1494457	2149122	1911463	4792262	4946719	4851072	4850142	4897692	4712824	4615924	5867184	5387312	5290371	5230894	5134690	3774908	3625302	3075232	2883243	22938	3650980	389346	5184654	5473986	5310429	5089270	5087735	2838602	78958	3034610	2958498	3495040	3552749	4592820	4278080	4601897	4686726	4060395	3727872	1376460	5205905	5066478	4828296	4850210	4741360	5103042	5067888	4898006	5362988	4723304	5193587	2731876	2879082	2691164	2858760	2847628	2973220	6328858	7301500	7282439	8175852	7039464	6635982	7244488	6824421	7716418	6916482	7777773	8006078	7877883	7550444	7275394	7610654	72881	8329743	5858686	5856221	5924288	6578274	6440127	6882468	5257208	4922686	5605967	4576776	5396798	4776495	5983950	4836418	5335644	5076050	5072955	5064489	5493405	5125984	5311268	5159063	3063056	2915902	3383349	3214621	4826680	3080392	853545	1565529	2309158	2176483	3117068	1548991	4531384	4939881	5277763	4899228	4759605	5162402	5214270	5499590	7709214	5986103	7869493	7788001	2788322	3853802	4033194	4847338	4386182	4482806	11473397	6156151	6450035	6041914	5973377	6101878	7351541	7024356	6897403	7436706	8174736	8435512	3372670	3720702	3065213	3447333	3264568	3497431	76189	67113	138440	48481	9610866	10361100	9988556	7628134	10746578	12812568	10975646	12940910	11902258	12242033	11522531	10148130	11065033	11559720	7351822	8308232	8012501	8016760	8480151	7739930	7723618	6878589	7939306	7300251	7754112	7171018	5143120	5744384	7143087	6077072	6375878	6042886	6145550	7600150
Cycloxydim-TP_BH_517-TSO_E/Z-isomer	SVKHAVSUBSUFBQ-NBVRZTHBSA-N	0	2977	0	0	3707718	44505324	48896596	48075204	51959160	50002004	124139	91171	1446186	1079436	1438088	1399822	51943832	52872676	49356260	51356012	49306300	48716264	27125762	31883788	32698542	34152836	32264400	29903866	27831132	28512642	24778716	25313394	1473457	28662540	5824957	52780508	53234240	52569536	40177668	51301728	50245044	2968622	50387636	50138416	47658224	49412424	46725436	42883804	45248948	48195016	41904940	40821872	13409409	50716836	49759676	49742904	49316892	47396580	38818432	40641016	35471268	38994836	38063580	40585644	39048712	39133312	37514604	40476040	38145764	40150092	40811248	45912756	45094592	48105696	44234692	42723656	32130090	31142052	33391188	32597696	34857416	33171472	42659096	42666732	42092772	41680900	994030	42954076	48033324	50923284	45934296	49046300	48369340	51910984	54468432	52672244	55315004	47480332	57199492	50999728	39254220	41477940	42121860	42296012	41595744	41891732	42662920	42526464	43023072	41800680	30114136	30512520	33346202	32799686	34936964	32931540	400763	638322	666236	620000	632934	633718	35614012	37536964	44222528	42787212	36967964	37743372	38519332	40921824	39630360	38611524	37171200	38302172	32021008	30499088	34263968	34346564	33166800	34022464	49889344	36966752	40189180	39410388	29662864	29179314	17933026	16660508	24508924	24508962	17821300	17895230	34625704	33997888	34579692	39097652	30938016	33670176	2554910	3288690	2749156	2073010	35397840	37868536	34426440	27050476	34147952	36993416	35665952	37784860	40685156	43767468	40804956	37072644	38584416	39945688	38624896	41860248	41019928	40674484	41208072	38910756	46848772	46144700	44405280	45827472	44390940	41646888	29797196	30531452	32385884	32197104	31113724	31424272	32065674	31351302
Phenol_sulfate	CTYRPMDGLDAWRQ-UHFFFAOYSA-N	0	0	0	2843	26322	1505831	1778766	1687980	1844349	1822285	68683	8965	1875745	1190150	1893336	1800207	1737635	933561	1887327	1921335	1731877	1825628	960184	1796053	1801074	1989462	1818187	1054166	1641472	1759300	1881127	1593243	15869	1030726	123044	1861270	1935490	1993595	1322398	1960060	734528	16037	1198517	1166942	1728061	1763360	1599193	1567698	1681651	1535661	1539124	1450335	6800	1950131	1514841	1895176	1912234	1918105	1594559	1635645	1416176	1716593	1521224	1763406	1345698	1281637	1295224	1263377	1363708	1502833	1170371	1430087	1477790	1563446	1396549	1348057	1286865	1268940	1397323	1385709	1401532	712538	1303384	861514	1367205	1390110	2845	1481277	1395600	965371	1476565	1586678	1501775	1771635	1312706	1344877	1571559	1050966	1544861	1278689	848473	1461072	787504	1605796	1725466	1620966	1526379	1570527	1542318	1708602	1138795	1356708	1505900	1529743	1708579	1523167	662822	1155929	1579882	1628443	1548180	1560188	1330854	1524880	1570440	1615102	1617554	1740895	1457920	1795143	1897138	1331597	1929781	2006430	945649	843769	1556557	1685089	1005246	1007108	1179327	1829032	1326936	1963646	1140774	2011432	1720252	1822346	2099770	2062995	2091024	2113324	1548148	1056936	1501646	1708128	1441268	841791	11119	3447	11208	2659	803571	1594582	1361761	619374	1310420	1537408	1521021	829751	1557560	1318881	1536512	838209	1567171	1646608	1291074	1563252	1631279	1632886	1568031	1584910	1554592	1553707	1683963	1658858	1613673	1597374	920716	1406943	1548178	1518022	1529692	1629706	936974	905865
Pinoquercetin	DTFXGVGIKNSCQQ-UHFFFAOYSA-N	0	0	0	0	6076	16336	19123	47762	15244	81334	2883	0	7330	7354	8288	11140	14765	57355	9597	26362	59198	38749	182070	417010	357753	1349330	383678	745137	89388520	88312160	90790080	85380952	3129961	90372712	6895	11457	14957	0	7097	9877	7978	5392	8512	27110	17217	16612	8571	0	11513	26483	4888	0	5689	12513	47417	10154	8781	11069	8336	10847	0	10918	4616	8112	12035	32828	9547	0	5881	23368	26845	19609	21989	64796	11317	9046	21029	17269	8257	26014	39971	9811	81906	94270	64892	62351	0	96596	1187	6517	7687	3948	19479	12733	27070	39027	26992	17834	71374	19709	4188679	4557798	4680748	4486999	4455223	4630042	4531808	4764865	4744526	4880946	53822740	51511044	58342756	55644020	57198084	53909284	28494594	45421604	62007272	62050448	61084496	60031108	44522952	46679672	37381724	35653052	41936708	43923148	75681928	82071472	91203448	86133816	80005160	84289312	51737976	48362944	54141136	51163176	51957008	55890972	124530792	72005296	75736896	77828888	79391896	79281904	69922256	66917784	68807272	69331616	67917456	68014816	114914056	118237984	92047752	99956504	100532336	105701968	3498000	4332690	4255796	2217771	111228584	117748312	90193744	72935808	87242464	93703432	90340752	94893024	123908120	126277776	119282720	105703568	111810616	115236336	127210008	136890288	138526432	134484720	138023584	126343840	36360360	35768028	34741700	35309536	29907242	27532492	61771680	73168912	74778488	74081976	74206320	73251296	73930936	74810816
(2S,3R,4S,5S,6R)-2-[3-hydroxy-5-[(Z)-2-(4-hydroxyphenyl)ethenyl]phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol	HSTZMXCBWJGKHG-BUFXCDORSA-N	0	0	0	0	62205	1203862	1344501	1363829	1512586	1565965	108818	59109	1186210	953829	1360893	1238100	1778811	1829540	1734286	1504585	1424684	1368755	1301570	1562167	1464774	1553893	1412632	1745353	2087122	1824750	1796088	1740940	13644	1691315	124548	1641012	1547807	1574443	1193658	1480215	2053986	101185	2197916	2227750	1473202	1455228	1210879	1439096	1759964	1913724	1443805	1495454	286538	1464955	1291095	1193084	1288425	1285226	1585342	1826053	1650385	1796459	1132724	958697	744760	680198	691609	691589	561713	593238	712431	688046	787660	735013	606493	630837	650037	550436	607250	675146	572972	567989	619441	615691	569822	723294	0	548140	812528	972964	843241	843840	722106	713477	1576032	1298739	1381120	1276024	1701475	1448988	1284451	1153298	1245932	1200811	1451977	1272812	1245661	1295340	1253094	1163792	1383658	1227330	1356692	1533341	1458893	1380102	649888	1074365	1256124	1407130	1219748	1399109	1445971	1597858	1563958	1579132	1537520	1551962	1781007	1905792	1821460	1673788	1923449	1843546	2061491	1985207	1574374	1413044	2094389	2109445	1711681	1485248	2092171	2073786	1969318	1914693	2149757	2084045	1646641	1759642	2024723	2103518	946888	964179	923060	856438	818258	819123	0	2699	3452	0	640400	687584	865119	550450	756096	800731	614575	726714	804089	761637	650174	653900	582189	670990	839721	1048640	991179	868535	904765	961991	1574088	1422117	1621243	1263562	1216351	1215526	1074799	1162848	1239271	1288805	1211152	1116096	1200630	1259102
